id,title,description,course_id,created_by,created_at
1,Professional Cybersecurity - Quiz 1,Assessment quiz for Professional Cybersecurity,1,1754,2025-10-03 17:25:43
2,Professional Cybersecurity - Quiz 2,Assessment quiz for Professional Cybersecurity,1,1754,2025-09-15 17:25:43
3,Professional Cybersecurity - Quiz 3,Assessment quiz for Professional Cybersecurity,1,1754,2025-09-21 17:25:43
4,Professional Cybersecurity - Quiz 4,Assessment quiz for Professional Cybersecurity,1,1754,2025-10-06 17:25:43
5,Professional Cybersecurity - Quiz 5,Assessment quiz for Professional Cybersecurity,1,1754,2025-10-07 17:25:43
6,Statistics Laboratory - Quiz 1,Assessment quiz for Statistics Laboratory,3,113,2025-09-14 17:32:32
7,Statistics Laboratory - Quiz 2,Assessment quiz for Statistics Laboratory,3,113,2025-10-05 17:32:32
8,Statistics Laboratory - Quiz 3,Assessment quiz for Statistics Laboratory,3,113,2025-09-30 17:32:32
9,Statistics Laboratory - Quiz 4,Assessment quiz for Statistics Laboratory,3,113,2025-09-30 17:32:32
10,Statistics Laboratory - Quiz 5,Assessment quiz for Statistics Laboratory,3,113,2025-10-02 17:32:32
11,Creative Drawing Workshop - Quiz 1,Assessment quiz for Creative Drawing Workshop,4,1233,2025-10-07 17:24:08
12,Creative Drawing Workshop - Quiz 2,Assessment quiz for Creative Drawing Workshop,4,1233,2025-09-17 17:24:08
13,Creative Drawing Workshop - Quiz 3,Assessment quiz for Creative Drawing Workshop,4,1233,2025-09-15 17:24:08
14,Creative Drawing Workshop - Quiz 4,Assessment quiz for Creative Drawing Workshop,4,1233,2025-09-18 17:24:08
15,Creative Drawing Workshop - Quiz 5,Assessment quiz for Creative Drawing Workshop,4,1233,2025-10-09 17:24:08
16,Professional Wellness - Quiz 1,Assessment quiz for Professional Wellness,5,240,2025-09-19 17:37:44
17,Wellness Essentials - Quiz 1,Assessment quiz for Wellness Essentials,6,769,2025-09-30 17:32:43
18,Drawing Masterclass - Quiz 1,Assessment quiz for Drawing Masterclass,7,2106,2025-10-04 17:38:40
19,Drawing Masterclass - Quiz 2,Assessment quiz for Drawing Masterclass,7,2106,2025-09-27 17:38:40
20,Test Prep Mastery - Quiz 1,Assessment quiz for Test Prep Mastery,8,966,2025-10-06 17:23:10
21,Test Prep Mastery - Quiz 2,Assessment quiz for Test Prep Mastery,8,966,2025-09-26 17:23:10
22,Chemistry Fundamentals - Quiz 1,Assessment quiz for Chemistry Fundamentals,9,375,2025-10-03 17:29:37
23,Chemistry Fundamentals - Quiz 2,Assessment quiz for Chemistry Fundamentals,9,375,2025-09-25 17:29:37
24,Mindfulness Workshop - Quiz 1,Assessment quiz for Mindfulness Workshop,10,1949,2025-09-26 17:30:11
25,Mindfulness Workshop - Quiz 2,Assessment quiz for Mindfulness Workshop,10,1949,2025-09-28 17:30:11
26,Mindfulness Workshop - Quiz 3,Assessment quiz for Mindfulness Workshop,10,1949,2025-10-03 17:30:11
